,Open,High,Low,Close,Volume,max,min,max_shift,min_shift,rsi,sma_10,previous_rsi,next_rsi,rsi_touch_point,rsi_sell,rsi_buy,sma_shift
2013-11-06 07:45:00,1.35066,1.35073,1.35048,1.35048,618.830003619194,1.35143,1.35012,1.3509,1.3493700000000002,69.50255728663353,1.3508650000000002,71.19320315433822,71.38049804643302,1,-1,0,1.3502589999999999
2013-11-06 08:15:00,1.3509,1.35107,1.3507,1.35071,872.390006065369,1.35143,1.35012,1.35079,1.3493700000000002,69.34707693125112,1.3508349999999998,71.38049804643302,69.72927054197116,1,-1,0,1.3501159999999999
2013-11-12 17:15:00,1.34522,1.3453600000000001,1.3438299999999999,1.34425,4761.68002259731,1.34523,1.34226,1.3442399999999999,1.34249,64.42034194810392,1.3438199999999996,70.44929419706675,63.429159967956984,1,-1,0,1.3434779999999997
2013-11-14 00:30:00,1.34915,1.34924,1.34805,1.3486,705.880004286766,1.34915,1.34579,1.34904,1.3481,67.04742002978756,1.3473029999999997,71.01623642498444,64.09934126468768,1,-1,0,1.3484249999999998
2013-11-15 17:00:00,1.34955,1.34965,1.34796,1.34827,4191.88002824783,1.3495700000000002,1.34546,1.3482399999999999,1.34724,61.056262927609,1.3477149999999987,70.18872313824028,55.670565667680535,1,-1,0,1.347843999999999
2013-11-18 17:00:00,1.35358,1.35414,1.35285,1.35295,4431.56002509594,1.35366,1.3509799999999998,1.3527,1.35067,63.93134974418868,1.3523349999999996,70.66636169979239,61.32142279121003,1,-1,0,1.3519459999999994
2013-11-20 01:15:00,1.35752,1.35756,1.35586,1.35594,2479.21000725031,1.35755,1.35345,1.3564,1.35476,63.070248081606984,1.3542439999999993,74.18752520280188,63.10639482384005,1,-1,0,1.3554309999999998
2013-11-22 12:15:00,1.35232,1.35266,1.3517,1.3518,4413.46000945568,1.35233,1.3491600000000001,1.35315,1.35138,69.47037613237333,1.3507680000000004,74.24442960349822,66.98937009542114,1,-1,0,1.3520210000000006
2013-11-22 14:45:00,1.35313,1.35334,1.35265,1.3527799999999999,2884.52001312375,1.35315,1.35138,1.3533899999999999,1.35168,68.16096503636192,1.3520210000000006,71.56546562109799,59.538936895637875,1,-1,0,1.352251000000001
2013-11-26 10:30:00,1.35626,1.35665,1.3552,1.35527,4795.45002603531,1.35626,1.35284,1.35561,1.35389,62.36962452428575,1.3541720000000013,71.29817164944141,63.722143155406954,1,-1,0,1.3549970000000013
2013-11-27 05:45:00,1.35935,1.3596,1.35874,1.3592600000000001,3138.23000961542,1.35935,1.3559,1.3596,1.3588799999999999,69.98527035625244,1.3570560000000018,70.91426104785756,70.16810249328022,1,-1,0,1.3593030000000015
2013-11-27 06:30:00,1.3595899999999999,1.35979,1.3589799999999999,1.35912,1737.02001190186,1.3596,1.3563100000000001,1.35958,1.35766,66.40525856889583,1.3580540000000016,71.53689624395695,68.20583269326534,1,-1,0,1.3588570000000015
2013-12-03 15:45:00,1.3589200000000001,1.3591600000000001,1.3581299999999998,1.3583399999999999,5017.09002101421,1.35895,1.35696,1.35887,1.35763,66.24409962603868,1.357823000000001,73.49056914841641,61.33870574631931,1,-1,0,1.3582280000000009
2013-12-03 19:15:00,1.36036,1.36065,1.3594,1.3594,2474.9800106287,1.36037,1.358,1.3603399999999999,1.359,61.98746035544269,1.3590820000000008,71.11236202794139,63.229122626816505,1,-1,0,1.3596830000000009
2013-12-05 08:45:00,1.36267,1.3629,1.3623100000000001,1.36257,2418.1900178194,1.36327,1.3603,1.36329,1.35923,69.44277669179341,1.3611620000000006,70.33551195825596,72.1243063947087,1,-1,0,1.3614200000000005
2013-12-05 09:15:00,1.36329,1.36344,1.36267,1.36284,2697.17000806332,1.36329,1.3603,1.3622299999999998,1.35923,68.18762129436679,1.3616780000000006,72.1243063947087,63.185843600210724,1,-1,0,1.3607800000000005
2013-12-10 05:00:00,1.376,1.3761,1.37578,1.37579,1162.59000766277,1.376,1.37382,1.37601,1.3753600000000001,68.0750441578441,1.3749000000000007,70.89743070488846,68.63827387867958,1,-1,0,1.3756880000000007
2013-12-10 17:00:00,1.37828,1.3794799999999998,1.3778299999999999,1.37789,5172.7900344133395,1.37828,1.37504,1.37794,1.3764,68.3957145470725,1.3764000000000007,72.36858614725826,68.62813618337724,1,-1,0,1.3768600000000006
2013-12-11 16:45:00,1.37955,1.37962,1.37842,1.37866,4492.4600179195395,1.37954,1.3764399999999999,1.38038,1.37761,63.904401685127844,1.3776380000000006,73.3588614769203,66.72570279767105,1,-1,0,1.3791250000000006
2013-12-16 14:30:00,1.37945,1.37983,1.3789200000000001,1.3789200000000001,3575.1600266695,1.37952,1.3774,1.3787399999999999,1.37599,65.16836908097082,1.378364000000001,70.50043490686474,63.64821508775531,1,-1,0,1.3772290000000011
2013-12-23 15:15:00,1.37024,1.37038,1.36968,1.3699700000000001,2905.4500147104304,1.3702299999999998,1.36825,1.37055,1.36935,66.61896862623948,1.3690319999999994,70.32209010342466,64.28892361262922,1,-1,0,1.3698799999999995
