,Open,High,Low,Close,Volume,Date,ma,atr,atr_up,atr_down,direction,last_ma,consecutive,previous_consecutive
2014-11-20 02:00:00,118.12700000000001,118.196,117.98700000000001,118.156,6714.11000859737,735557.0833333334,,,,,0,,0,
2014-11-20 03:00:00,118.156,118.23899999999999,118.12200000000001,118.15299999999999,4936.22000706196,735557.125,,,,,0,,0,0.0
2014-11-20 04:00:00,118.15299999999999,118.194,118.07700000000001,118.149,3362.20000529289,735557.1666666666,,,,,0,,0,0.0
2014-11-20 05:00:00,118.149,118.366,118.139,118.35700000000001,4404.25000572205,735557.2083333334,,,,,0,,0,0.0
2014-11-20 06:00:00,118.35700000000001,118.539,118.333,118.465,6379.320010185239,735557.25,,,,,0,,0,0.0
2014-11-20 07:00:00,118.46600000000001,118.706,118.465,118.646,7422.7400082349795,735557.2916666666,,,,,0,,0,0.0
2014-11-20 08:00:00,118.646,118.68,118.48,118.616,5386.700007796289,735557.3333333334,,,,,0,,0,0.0
2014-11-20 09:00:00,118.617,118.978,118.54299999999999,118.583,10088.3500270844,735557.375,,,,,0,,0,0.0
2014-11-20 10:00:00,118.583,118.654,118.29,118.605,12304.860043525701,735557.4166666666,,,,,0,,0,0.0
2014-11-20 11:00:00,118.60700000000001,118.725,118.381,118.471,8264.61002469063,735557.4583333334,,,,,0,,0,0.0
2014-11-20 12:00:00,118.47200000000001,118.50399999999999,118.227,118.273,7135.18001949787,735557.5,,,,,0,,0,0.0
2014-11-20 13:00:00,118.273,118.277,117.965,118.145,8751.12002229691,735557.5416666666,,,,,0,,0,0.0
2014-11-20 14:00:00,118.14200000000001,118.28299999999999,118.06299999999999,118.177,6912.610023140911,735557.5833333334,,,,,0,,0,0.0
2014-11-20 15:00:00,118.176,118.40899999999999,117.845,118.038,11499.510025143602,735557.625,,,,,0,,0,0.0
2014-11-20 16:00:00,118.039,118.061,117.742,118.021,13430.6400420666,735557.6666666666,,,,,0,,0,0.0
2014-11-20 17:00:00,118.01700000000001,118.321,117.898,118.135,13246.4800423384,735557.7083333334,,,,,0,,0,0.0
2014-11-20 18:00:00,118.137,118.228,117.99799999999999,118.15100000000001,6564.66003417969,735557.75,,,,,0,,0,0.0
2014-11-20 19:00:00,118.152,118.156,118.06200000000001,118.09299999999999,3595.100025177,735557.7916666666,,,,,0,,0,0.0
2014-11-20 20:00:00,118.09200000000001,118.131,117.82,117.916,4037.6800072193105,735557.8333333334,,,,,0,,0,0.0
2014-11-20 21:00:00,117.915,118.073,117.90100000000001,117.93299999999999,2596.46000051498,735557.875,,,,,0,,0,0.0
2014-11-20 22:00:00,117.931,118.039,117.931,118.007,2570.42000997067,735557.9166666666,,0.26404999999999673,,,0,,0,0.0
2014-11-20 23:00:00,118.008,118.238,118.00399999999999,118.199,2668.96001088619,735557.9583333334,,0.2625474999999974,,,0,,0,0.0
2014-11-21 00:00:00,118.19200000000001,118.274,118.12799999999999,118.257,2761.63001019508,735558.0,,0.2567201249999983,,,0,,0,0.0
2014-11-21 01:00:00,118.256,118.368,118.235,118.24700000000001,3862.88000965118,735558.0416666666,,0.2505341187499982,,,0,,0,0.0
2014-11-21 02:00:00,118.24700000000001,118.26700000000001,117.961,118.12100000000001,7437.48001384735,735558.0833333334,,0.2533074128124989,,,0,,0,0.0
2014-11-21 03:00:00,118.119,118.12299999999999,117.447,117.553,8707.650008916851,735558.125,,0.27444204217187335,,,0,,0,0.0
2014-11-21 04:00:00,117.556,117.723,117.355,117.681,8166.090017318729,735558.1666666666,,0.27911994006327945,,,0,,0,0.0
2014-11-21 05:00:00,117.679,117.87,117.58200000000001,117.641,6373.81001269817,735558.2083333334,,0.2795639430601153,,,0,,0,0.0
2014-11-21 06:00:00,117.641,117.838,117.508,117.807,6266.420010805129,735558.25,,0.28208574590710944,,,0,,0,0.0
