,Open,High,Low,Close,Volume,rsi14,rsi20,sma20,sma30,sma50,Date,previous_rsi,next_rsi,rsi_touch_point,rsi_sell,rsi_buy
2013-11-06 02:00:00,1.3471899999999999,1.34743,1.34715,1.34742,511.69000494480105,,,,,,735178.0833333334,,,0,0,0
2013-11-06 02:15:00,1.34742,1.3476299999999999,1.34733,1.3476299999999999,433.610001683235,,,,,,735178.09375,,,0,0,0
2013-11-06 02:30:00,1.3476299999999999,1.3476299999999999,1.3473899999999999,1.34741,705.200003623962,,,,,,735178.1041666666,,,0,0,0
2013-11-06 02:45:00,1.34741,1.34748,1.34684,1.34684,737.310006022453,,,,,,735178.1145833334,,,0,0,0
2013-11-06 03:00:00,1.34686,1.3471,1.34675,1.34695,949.2600082159039,,,,,,735178.125,,,0,0,0
2013-11-06 03:15:00,1.34694,1.3471,1.3468799999999999,1.34694,651.110003232956,,,,,,735178.1354166666,,,0,0,0
2013-11-06 03:30:00,1.34694,1.34709,1.34689,1.34704,758.80000436306,,,,,,735178.1458333334,,,0,0,0
2013-11-06 03:45:00,1.34705,1.3471,1.34685,1.34694,1016.92001116276,,,,,,735178.15625,,,0,0,0
2013-11-06 04:00:00,1.34693,1.34707,1.3468,1.34703,419.42000365257303,,,,,,735178.1666666666,,,0,0,0
2013-11-06 04:15:00,1.34703,1.34776,1.34703,1.34765,939.090003371239,,,,,,735178.1770833334,,,0,0,0
2013-11-06 04:30:00,1.34764,1.3485200000000002,1.34764,1.3484399999999999,1373.7700030803699,,,,,,735178.1875,,,0,0,0
2013-11-06 04:45:00,1.3484399999999999,1.34889,1.3482100000000001,1.34886,1470.80001211166,,,,,,735178.1979166666,,,0,0,0
2013-11-06 05:00:00,1.34886,1.34962,1.34871,1.34961,1311.14000868797,,,,,,735178.2083333334,,,0,0,0
2013-11-06 05:15:00,1.3496,1.34999,1.34905,1.3499299999999999,1802.21001327038,,,,,,735178.21875,,82.65895953757352,0,0,0
2013-11-06 05:30:00,1.34994,1.3516299999999999,1.34984,1.35081,3421.9600279331203,82.65895953757352,,,,,735178.2291666666,,83.64322661820306,0,0,0
2013-11-06 05:45:00,1.3508200000000001,1.35135,1.3508,1.3511,1500.8800107240697,83.64322661820306,,,,,735178.2395833334,82.65895953757352,84.70695878620985,0,0,0
2013-11-06 06:00:00,1.35112,1.35212,1.35111,1.35143,1718.15001022816,84.70695878620985,,,,,735178.25,83.64322661820306,83.29278504030675,0,0,0
2013-11-06 06:15:00,1.35143,1.3516299999999999,1.35131,1.35135,897.860006928444,83.29278504030675,,,,,735178.2604166666,84.70695878620985,82.7349718810529,0,0,0
2013-11-06 06:30:00,1.35133,1.35181,1.35115,1.35132,1404.42001187801,82.7349718810529,,,,,735178.2708333334,83.29278504030675,74.17550794042181,0,0,0
2013-11-06 06:45:00,1.35132,1.35146,1.35077,1.35084,1523.4500117301902,74.17550794042181,,1.348777,,,735178.28125,82.7349718810529,63.55420751419284,0,0,0
2013-11-06 07:00:00,1.35084,1.35091,1.35012,1.35012,1185.42000818253,63.55420751419284,68.960674157304,1.3489119999999999,,,735178.2916666666,74.17550794042181,66.69296658200106,1,-1,0
2013-11-06 07:15:00,1.3501299999999998,1.35064,1.3501,1.35056,1014.3400049209599,66.69296658200106,70.85646862854037,1.3490585000000002,,,735178.3020833334,63.55420751419284,67.24530610599179,0,0,0
2013-11-06 07:30:00,1.35056,1.35076,1.3502100000000001,1.35064,528.3500043153759,67.24530610599179,71.19320315433822,1.34922,,,735178.3125,66.69296658200106,64.92628139057271,0,0,0
2013-11-06 07:45:00,1.35066,1.35073,1.35048,1.35048,618.830003619194,64.92628139057271,69.50255728663353,1.349402,,,735178.3229166666,67.24530610599179,68.0418611437385,0,0,0
2013-11-06 08:00:00,1.35048,1.3509200000000001,1.35038,1.3509,892.840008020401,68.0418611437385,71.38049804643302,1.3495995,,,735178.3333333334,64.92628139057271,65.21943188965511,0,0,0
2013-11-06 08:15:00,1.3509,1.35107,1.3507,1.35071,872.390006065369,65.21943188965511,69.34707693125112,1.349788,,,735178.34375,68.0418611437385,65.86154539931161,0,0,0
2013-11-06 08:30:00,1.3507200000000001,1.35081,1.35032,1.35079,1187.89000880718,65.86154539931161,69.72927054197116,1.3499755,,,735178.3541666666,65.21943188965511,55.865152503084914,0,0,0
2013-11-06 08:45:00,1.35079,1.3508,1.3500299999999998,1.35007,1357.18000721931,55.865152503084914,62.3628518645529,1.3501319999999999,,,735178.3645833334,65.86154539931161,57.50517044844481,0,0,0
2013-11-06 09:00:00,1.35006,1.35041,1.34995,1.3502399999999999,1577.8700138330498,57.50517044844481,63.32578238945714,1.3502925,,,735178.375,55.865152503084914,48.97414371331338,0,0,0
2013-11-06 09:15:00,1.3502299999999998,1.3502399999999999,1.34925,1.3495,2279.4400135278697,48.97414371331338,56.68107970690572,1.3503849999999997,1.3493183333333332,,735178.3854166666,57.50517044844481,59.68100509874142,0,0,0
2013-11-06 09:30:00,1.3495,1.35094,1.3493700000000002,1.35073,3174.86001813412,59.68100509874142,63.40034472008471,1.3504994999999997,1.3494286666666666,,735178.3958333334,48.97414371331338,55.500469156606194,0,0,0
2013-11-06 09:45:00,1.35074,1.35075,1.3503,1.35032,1605.27000916004,55.500469156606194,60.12787853245474,1.3505724999999997,1.349518333333333,,735178.40625,59.68100509874142,52.05266841701961,0,0,0
2013-11-06 10:00:00,1.35032,1.35032,1.3493,1.34996,3182.3500162363102,52.05266841701961,57.38999617477864,1.35059,1.3496033333333333,,735178.4166666666,55.500469156606194,46.90939587371168,0,0,0
