Date,Timestamp,Open,High,Low,Close,Volume
20141121,17:00:00,117.824,117.849,117.385,117.574,8996.11004185677
20141121,18:00:00,117.574,117.749,117.398,117.738,7162.90005064011
20141121,19:00:00,117.738,117.803,117.707,117.775,4381.32003545761
20141121,20:00:00,117.775,117.956,117.76,117.812,3824.98003542423
20141121,21:00:00,117.813,117.844,117.704,117.776,2503.07001590729
20141121,22:00:00,117.778,117.789,117.709,117.721,1951.29000663757
20141121,23:00:00,117.721,117.826,117.695,117.767,1583.36000076681
20141124,00:00:00,117.866,117.927,117.76,117.865,2285.77000069618
20141124,01:00:00,117.868,117.94,117.733,117.785,2965.38000500202
20141124,02:00:00,117.787,117.79,117.581,117.668,3879.19000422955
20141124,03:00:00,117.665,117.764,117.638,117.71,2695.58000516891
20141124,04:00:00,117.709,117.804,117.691,117.782,1676.68000352383
20141124,05:00:00,117.78,117.883,117.722,117.87,2018.07000184059
20141124,06:00:00,117.871,117.944,117.82,117.902,2259.85000097752
20141124,07:00:00,117.903,117.973,117.861,117.97,2411.96000313759
20141124,08:00:00,117.97,118.003,117.803,117.832,2850.72000157833
20141124,09:00:00,117.83,117.941,117.83,117.915,3522.00000476837
20141124,10:00:00,117.913,118.302,117.835,118.23,8242.09004116058
20141124,11:00:00,118.231,118.38,118.138,118.207,8149.89003276825
20141124,12:00:00,118.212,118.285,118.212,118.246,4249.49002408981
20141124,13:00:00,118.245,118.282,118.184,118.262,3892.14001762867
20141124,14:00:00,118.263,118.315,118.209,118.289,4500.78001880646
20141124,15:00:00,118.29,118.355,118.184,118.291,5964.64002132416
20141124,16:00:00,118.293,118.482,118.251,118.417,7485.58003473282
20141124,17:00:00,118.417,118.474,118.337,118.395,6988.69004046917
20141124,18:00:00,118.394,118.426,118.247,118.394,5900.81004285812
20141124,19:00:00,118.393,118.445,118.373,118.407,2758.39001750946
20141124,20:00:00,118.408,118.42,118.303,118.319,2449.56001091003
20141124,21:00:00,118.321,118.374,118.247,118.303,2728.02001619339
20141124,22:00:00,118.301,118.301,118.219,118.256,2459.94002103806
20141124,23:00:00,118.254,118.281,118.239,118.268,1465.28000217676
20141125,00:00:00,118.268,118.364,118.257,118.308,2683.53000307083
20141125,01:00:00,118.308,118.572,118.266,118.458,4943.74001693726
20141125,02:00:00,118.457,118.457,118.068,118.115,7429.29999649525
20141125,03:00:00,118.119,118.142,117.787,118.111,7879.24000537395
20141125,04:00:00,118.112,118.17,117.978,118.022,4305.71000385284
20141125,05:00:00,118.022,118.025,117.832,117.856,5564.58000564575
20141125,06:00:00,117.855,118.057,117.841,117.958,3643.67000484467
20141125,07:00:00,117.957,117.957,117.83,117.86,4679.69000387192
20141125,08:00:00,117.859,117.975,117.842,117.874,3870.52000927925
20141125,09:00:00,117.875,118.061,117.69,117.942,6661.35002183914
20141125,10:00:00,117.942,118.069,117.901,118.022,6600.85002803802
20141125,11:00:00,118.022,118.194,118.02,118.144,6124.08002090454
20141125,12:00:00,118.144,118.203,118.104,118.177,4811.30002379417
20141125,13:00:00,118.178,118.178,118.008,118.033,4642.24003362656
20141125,14:00:00,118.033,118.125,117.918,118.051,5314.53002882004
20141125,15:00:00,118.053,118.29,117.996,118.17,8035.74004196376
20141125,16:00:00,118.171,118.191,117.845,117.986,8425.83004188538
20141125,17:00:00,117.978,118.059,117.807,117.85,8601.72004187107
20141125,18:00:00,117.851,117.996,117.816,117.996,6057.38003969193
20141125,19:00:00,117.998,118.03,117.929,117.933,2987.22002363205
20141125,20:00:00,117.933,117.944,117.772,117.776,3329.66002368927
20141125,21:00:00,117.773,117.955,117.721,117.919,3478.64003038406
20141125,22:00:00,117.917,117.969,117.907,117.955,2314.15001952648
20141125,23:00:00,117.955,117.995,117.95,117.971,1625.84000897408
20141126,00:00:00,117.971,117.977,117.867,117.902,1602.92999994755
20141126,01:00:00,117.904,117.922,117.79,117.804,2382.79999947548
20141126,02:00:00,117.806,117.873,117.742,117.828,4027.00999855995
20141126,03:00:00,117.83,117.83,117.657,117.763,3458.22999835014
20141126,04:00:00,117.763,117.877,117.734,117.804,2424.61999821663
20141126,05:00:00,117.806,117.867,117.757,117.853,1618.0799998045
20141126,06:00:00,117.853,117.857,117.801,117.816,2295.49999976158
20141126,07:00:00,117.816,117.866,117.757,117.778,1975.52999889851
20141126,08:00:00,117.777,117.802,117.672,117.763,2825.88999819756
20141126,09:00:00,117.764,117.776,117.59,117.742,4322.37999996543
20141126,10:00:00,117.743,117.901,117.673,117.845,5654.35000002384
